text_id,file_path,author_id,title,date
FEDERALIST_45,R/data/text_data/federalist_papers/FEDERALIST_45.txt,Madison,The Alleged Danger From the Powers of the Union to the State Governments Considered,NA
FEDERALIST_46,R/data/text_data/federalist_papers/FEDERALIST_46.txt,Madison,The Influence of the State and Federal Governments Compared,"January 29, 1788"
FEDERALIST_47,R/data/text_data/federalist_papers/FEDERALIST_47.txt,Madison,The Particular Structure of the New Government and the Distribution of Power Among Its Different Parts,"February 1, 1788"
FEDERALIST_48,R/data/text_data/federalist_papers/FEDERALIST_48.txt,Madison,These Departments Should Not Be So Far Separated as to Have No,"February 1, 1788"
FEDERALIST_49,R/data/text_data/federalist_papers/FEDERALIST_49.txt,Disputed,Method of Guarding Against the Encroachments of Any One Department of Government by Appealing to the People Through a Convention,"February 5, 1788"
FEDERALIST_50,R/data/text_data/federalist_papers/FEDERALIST_50.txt,Disputed,Periodical Appeals to the People Considered,"February 5, 1788"
FEDERALIST_51,R/data/text_data/federalist_papers/FEDERALIST_51.txt,Disputed,The Structure of the Government Must Furnish the Proper Checks and Balances Between the Different Departments,"February 8, 1788"
FEDERALIST_52,R/data/text_data/federalist_papers/FEDERALIST_52.txt,Disputed,The House of Representatives,"February 8, 1788"
FEDERALIST_53,R/data/text_data/federalist_papers/FEDERALIST_53.txt,Disputed,The Same Subject Continued (The House of Representatives),"February 12, 1788"
FEDERALIST_54,R/data/text_data/federalist_papers/FEDERALIST_54.txt,Disputed,The Apportionment of Members Among the States,"February 12, 1788"
FEDERALIST_55,R/data/text_data/federalist_papers/FEDERALIST_55.txt,Disputed,The Total Number of the House of Representatives,"February 15, 1788"
FEDERALIST_56,R/data/text_data/federalist_papers/FEDERALIST_56.txt,Disputed,The Same Subject Continued (The Total Number of the House of Representatives),"February 19, 1788"
FEDERALIST_57,R/data/text_data/federalist_papers/FEDERALIST_57.txt,Disputed,The Alleged Tendency of the New Plan to Elevate the Few at the Expense of the Many Considered in Connection with Representation,"February 19, 1788"
FEDERALIST_58,R/data/text_data/federalist_papers/FEDERALIST_58.txt,Disputed,Objection That The Number of Members Will Not Be Augmented as the Progress of Population Demands Considered,NA
FEDERALIST_59,R/data/text_data/federalist_papers/FEDERALIST_59.txt,Hamilton,Concerning the Power of Congress to Regulate the Election of Members,"February 22, 1788"
FEDERALIST_60,R/data/text_data/federalist_papers/FEDERALIST_60.txt,Hamilton,The Same Subject Continued (Concerning the Power of Congress to Regulate the Election of Members),"February 26, 1788"
FEDERALIST_61,R/data/text_data/federalist_papers/FEDERALIST_61.txt,Hamilton,The Same Subject Continued (Concerning the Power of Congress to Regulate the Election of Members),"February 26, 1788"
FEDERALIST_62,R/data/text_data/federalist_papers/FEDERALIST_62.txt,Disputed,The Senate,NA
FEDERALIST_63,R/data/text_data/federalist_papers/FEDERALIST_63.txt,Disputed,The Senate Continued,NA
FEDERALIST_64,R/data/text_data/federalist_papers/FEDERALIST_64.txt,Jay,The Powers of the Senate,"March 7, 1788"
FEDERALIST_65,R/data/text_data/federalist_papers/FEDERALIST_65.txt,Hamilton,The Powers of the Senate Continued,"March 7, 1788"
FEDERALIST_66,R/data/text_data/federalist_papers/FEDERALIST_66.txt,Hamilton,Objections to the Power of the Senate To Set as a Court for Impeachments Further Considered,"March 11, 1788"
FEDERALIST_67,R/data/text_data/federalist_papers/FEDERALIST_67.txt,Hamilton,The Executive Department,"March 11, 1788"
FEDERALIST_68,R/data/text_data/federalist_papers/FEDERALIST_68.txt,Hamilton,The Mode of Electing the President,"March 14, 1788"
FEDERALIST_69,R/data/text_data/federalist_papers/FEDERALIST_69.txt,Hamilton,The Real Character of the Executive,"March 14, 1788"
FEDERALIST_70,R/data/text_data/federalist_papers/FEDERALIST_70.txt,Hamilton,The Executive Department Further Considered,"March 18, 1788"
FEDERALIST_71,R/data/text_data/federalist_papers/FEDERALIST_71.txt,Hamilton,The Duration in Office of the Executive,"March 18, 1788"
FEDERALIST_72,R/data/text_data/federalist_papers/FEDERALIST_72.txt,Hamilton,"The Same Subject Continued, and Re-Eligibility of the Executive Considered","March 21, 1788"
FEDERALIST_73,R/data/text_data/federalist_papers/FEDERALIST_73.txt,Hamilton,"The Provision For The Support of the Executive, and the Veto Power","March 21, 1788"
FEDERALIST_74,R/data/text_data/federalist_papers/FEDERALIST_74.txt,Hamilton,"The Command of the Military and Naval Forces, and the Pardoning Power of the Executive","March 25, 1788"
FEDERALIST_75,R/data/text_data/federalist_papers/FEDERALIST_75.txt,Hamilton,The Treaty-Making Power of the Executive,
FEDERALIST_76,R/data/text_data/federalist_papers/FEDERALIST_76.txt,Hamilton,The Appointing Power of the Executive,"April 1, 1788"
FEDERALIST_77,R/data/text_data/federalist_papers/FEDERALIST_77.txt,Hamilton,The Appointing Power Continued and Other Powers of the Executive Considered,"April 4, 1788"
FEDERALIST_78,R/data/text_data/federalist_papers/FEDERALIST_78.txt,Hamilton,The Judiciary Department,
FEDERALIST_79,R/data/text_data/federalist_papers/FEDERALIST_79.txt,Hamilton,The Judiciary Continued,
FEDERALIST_80,R/data/text_data/federalist_papers/FEDERALIST_80.txt,Hamilton,The Powers of the Judiciary,
FEDERALIST_81,R/data/text_data/federalist_papers/FEDERALIST_81.txt,Hamilton,"The Judiciary Continued, and the Distribution of the Judicial Authority",
FEDERALIST_82,R/data/text_data/federalist_papers/FEDERALIST_82.txt,Hamilton,The Judiciary Continued,
FEDERALIST_83,R/data/text_data/federalist_papers/FEDERALIST_83.txt,Hamilton,The Judiciary Continued in Relation to Trial by Jury,
FEDERALIST_84,R/data/text_data/federalist_papers/FEDERALIST_84.txt,Hamilton,Certain General and Miscellaneous Objections to the Constitution Considered and Answered,
FEDERALIST_85,R/data/text_data/federalist_papers/FEDERALIST_85.txt,Hamilton,Concluding Remarks,
