text_id,file_path,paper_title,paper_discipline,student_level,discipline_cat,level_cat,student_gender,speaker_status,speaker_l1,paper_type,paper_features
BIO.G0.06.1,data/text_data/micusp_body/BIO.G0.06.1.txt,Global Reproductive Strategies of Tursiops and Stenella (Family Delphinidae),Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Tables, graphs or figures, Literature review section, Reference to sources"
BIO.G0.07.1,data/text_data/micusp_body/BIO.G0.07.1.txt,Complementation Between Histidine-Requiring Mutants of Saccharomyces Cerevisiae,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Tables, graphs or figures, Methodology section, Problem-solution pattern, Discussion of results section, Reference to sources"
BIO.G0.07.2,data/text_data/micusp_body/BIO.G0.07.2.txt,"Plasmid Transfer, Genetic Stability and Nisin Resistance in Lactococci",Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.07.3,data/text_data/micusp_body/BIO.G0.07.3.txt,Genetic Analysis of a Mutant Strain of Drosophila Melanogaster,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.08.1,data/text_data/micusp_body/BIO.G0.08.1.txt,Analysis of a Mutant Strain of Drosophila,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.09.1,data/text_data/micusp_body/BIO.G0.09.1.txt,Nest Selection In Weaver Birds,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,"Problem-solution pattern, Tables, graphs or figures, Reference to sources"
BIO.G0.10.1,data/text_data/micusp_body/BIO.G0.10.1.txt,Bacterial Conjugation and Gene Mapping in E. Coli,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Tables, graphs or figures, Methodology section, Definitions, Discussion of results section"
BIO.G0.10.2,data/text_data/micusp_body/BIO.G0.10.2.txt,Drosophila Melanogaster Genetic Analysis Experiment,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures"
BIO.G0.11.1,data/text_data/micusp_body/BIO.G0.11.1.txt,Exploring the Molecular Responses of Arabidopsis in Hypobaric Environments:,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Proposal,"Abstract, Discussion of results section, Reference to sources"
BIO.G0.11.2,data/text_data/micusp_body/BIO.G0.11.2.txt,Mapping of Genes in a Mutant Strain of Drosophila Melanogaster,Biology,Final Year Undergraduate,BIO,G0,M,NS,,ResearchPaper,"Abstract, Tables, graphs or figures, Methodology section, Definitions, Discussion of results section"
BIO.G0.11.3,data/text_data/micusp_body/BIO.G0.11.3.txt,Fungal Eye Infections Due to ReNu MoistureLoc,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,Reference to sources
BIO.G0.12.1,data/text_data/micusp_body/BIO.G0.12.1.txt,The Effect of Initial Carbon Dioxide Concentration on the Rate of Photosynthesis in the Aquatic Plant Elodea,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Problem-solution pattern, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.12.2,data/text_data/micusp_body/BIO.G0.12.2.txt,Lab Report 2: Plant Biodiversity ,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Definitions, Discussion of results section, Reference to sources"
BIO.G0.13.1,data/text_data/micusp_body/BIO.G0.13.1.txt,Malaria Disease and Transmission,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Definitions, Reference to sources"
BIO.G0.14.1,data/text_data/micusp_body/BIO.G0.14.1.txt,Mapping of Unknown Mutations in Drosophila Melanogaster,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures"
BIO.G0.15.1,data/text_data/micusp_body/BIO.G0.15.1.txt,Invading the Territory of Invasives: The Dangers of Biotic Disturbance,Biology,Final Year Undergraduate,BIO,G0,M,NNS,Chinese,Essay,Reference to sources
BIO.G0.16.1,data/text_data/micusp_body/BIO.G0.16.1.txt,Role of Leptin in Cardiovascular Disease,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,"Definitions, Tables, graphs or figures, Reference to sources"
BIO.G0.17.1,data/text_data/micusp_body/BIO.G0.17.1.txt,Effects of Protein Deficiency on Organ Size in Mus Musculus,Biology,Final Year Undergraduate,BIO,G0,M,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.18.1,data/text_data/micusp_body/BIO.G0.18.1.txt,Mammal Diversification,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,"Abstract, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.19.1,data/text_data/micusp_body/BIO.G0.19.1.txt,Malaria Disease and Transmission,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,
BIO.G0.20.1,data/text_data/micusp_body/BIO.G0.20.1.txt,A Case for a US International Anti-Malaria Program,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,"Definitions, Reference to sources"
BIO.G0.21.1,data/text_data/micusp_body/BIO.G0.21.1.txt,Prevalence of Haemosporidians in Birds of Northern Michigan,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.22.1,data/text_data/micusp_body/BIO.G0.22.1.txt,Trunk Forking in Acer Saccharum: a Phototropic Response to Forest Canopy Gaps,Biology,Final Year Undergraduate,BIO,G0,M,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.23.1,data/text_data/micusp_body/BIO.G0.23.1.txt,Drosophila Melanogaster lab report,Biology,Final Year Undergraduate,BIO,G0,M,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures"
BIO.G0.24.1,data/text_data/micusp_body/BIO.G0.24.1.txt,Varying Infectivity of Diplostomum Flexicaudum in Fish Species of Douglas Lake,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Abstract, Discussion of results section, Methodology section, Definitions, Problem-solution pattern, Reference to sources"
BIO.G0.25.1,data/text_data/micusp_body/BIO.G0.25.1.txt,Malaria in the Twenty-first Century,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Definitions, Reference to sources"
BIO.G0.26.1,data/text_data/micusp_body/BIO.G0.26.1.txt,Case Analysis for Jean Redhorse Osceola ,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Problem-solution pattern, Discussion of results section, Reference to sources"
BIO.G0.27.1,data/text_data/micusp_body/BIO.G0.27.1.txt,Small Mammal Response to Post-fire Forest Succession in Northern Lower Michigan,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.28.1,data/text_data/micusp_body/BIO.G0.28.1.txt,Niche Partitioning in Bats,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G0.29.1,data/text_data/micusp_body/BIO.G0.29.1.txt,Sexual Selection and Male Sacrifice:  From Darwin until Now,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,Reference to sources
BIO.G0.30.1,data/text_data/micusp_body/BIO.G0.30.1.txt,Assessing selection hypotheses for the CCR5-delta32 mutation in Europeans,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,"Discussion of results section, Reference to sources"
BIO.G0.31.1,data/text_data/micusp_body/BIO.G0.31.1.txt, Neurobiology Disease Explanation to a Parent,Biology,Final Year Undergraduate,BIO,G0,M,NS,,ResponsePaper,Reference to sources
BIO.G0.32.1,data/text_data/micusp_body/BIO.G0.32.1.txt,Mangrove Deforestation,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,Reference to sources
BIO.G1.01.1,data/text_data/micusp_body/BIO.G1.01.1.txt,V. Cholerae: First Steps towards a Spatially Explicit Model ,Biology,First Year Graduate,BIO,G1,M,NNS,Spanish,Proposal,"Abstract, Methodology section, Reference to sources"
BIO.G1.02.1,data/text_data/micusp_body/BIO.G1.02.1.txt,Biological Significance of Modular Structures in Protein Networks,Biology,First Year Graduate,BIO,G1,M,NNS,Chinese,ResearchPaper,"Tables, graphs or figures, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G1.03.1,data/text_data/micusp_body/BIO.G1.03.1.txt,Dispersal: a Review and Synthesis,Biology,First Year Graduate,BIO,G1,F,NS,,Report,"Discussion of results section, Reference to sources"
BIO.G1.04.1,data/text_data/micusp_body/BIO.G1.04.1.txt,The Evolution of Terrestriality: A Look at the Factors that Drove Tetrapods to Move Onto Land,Biology,First Year Graduate,BIO,G1,M,NS,,Essay,"Tables, graphs or figures, Literature review section, Reference to sources"
BIO.G1.05.1,data/text_data/micusp_body/BIO.G1.05.1.txt,Inferring Swimming Mode from Skeletal Proportions in Fossil Pinnipedimorphs,Biology,First Year Graduate,BIO,G1,M,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G1.06.1,data/text_data/micusp_body/BIO.G1.06.1.txt,Temp effects on nitrogen mineralization,Biology,First Year Graduate,BIO,G1,F,NS,,Report,"Discussion of results section, Reference to sources"
BIO.G1.07.1,data/text_data/micusp_body/BIO.G1.07.1.txt,Zebrafish and PGC mis-migration,Biology,First Year Graduate,BIO,G1,M,NNS,Chinese,Proposal,
BIO.G1.08.1,data/text_data/micusp_body/BIO.G1.08.1.txt,"Boc, sonic hedgehog and commissural axons",Biology,First Year Graduate,BIO,G1,F,NNS,Chinese,Report,
BIO.G1.08.2,data/text_data/micusp_body/BIO.G1.08.2.txt,Drosophila neuroblasts,Biology,First Year Graduate,BIO,G1,F,NNS,Chinese,ResponsePaper,
BIO.G2.01.1,data/text_data/micusp_body/BIO.G2.01.1.txt,Relationships and Biogeography of Antillean Cichlids,Biology,Second Year Graduate,BIO,G2,M,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G2.02.1,data/text_data/micusp_body/BIO.G2.02.1.txt,Modularity and the Evolution of Complex Systems,Biology,Second Year Graduate,BIO,G2,F,NS,,Report,Reference to sources
BIO.G2.03.1,data/text_data/micusp_body/BIO.G2.03.1.txt,"Cholera Seasonality, Rainfall, and Fadeouts: a Geostatistical Approach",Biology,Second Year Graduate,BIO,G2,M,NNS,Spanish,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G2.04.1,data/text_data/micusp_body/BIO.G2.04.1.txt,Polyphyly of the Old World Vultures and Phylogenetic Placement of Gypohierax Angolensis (Aves: Accipitridae) Inferred from Mitochondrial DNA,Biology,Second Year Graduate,BIO,G2,F,NS,,ResearchPaper,"Methodology section, Discussion of results section, Literature review section, Reference to sources"
BIO.G2.05.1,data/text_data/micusp_body/BIO.G2.05.1.txt,Application of Microarray Analysis in Drosophila,Biology,Second Year Graduate,BIO,G2,M,NNS,Chinese,Report,"Literature review section, Reference to sources"
BIO.G2.05.2,data/text_data/micusp_body/BIO.G2.05.2.txt,Assignment: Subcellular Protein Localization,Biology,Second Year Graduate,BIO,G2,M,NNS,Chinese,Report,"Definitions, Methodology section, Tables, graphs or figures, Discussion of results section"
BIO.G2.06.1,data/text_data/micusp_body/BIO.G2.06.1.txt,A Conserved Role of Cas-Spg System in Endoderm Specification during Early Vertebrate Development,Biology,Second Year Graduate,BIO,G2,F,NNS,Chinese,Proposal,"Methodology section, Problem-solution pattern, Discussion of results section, Reference to sources"
BIO.G2.07.1,data/text_data/micusp_body/BIO.G2.07.1.txt,Biofuels and Biodiversity,Biology,Second Year Graduate,BIO,G2,M,NS,,Report,"Definitions, Problem-solution pattern, Reference to sources"
BIO.G3.01.1,data/text_data/micusp_body/BIO.G3.01.1.txt,Do Programming-Oriented Environments Provide Favorable Growing Conditions for Hypotheses?,Biology,Third Year Graduate,BIO,G3,M,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G3.02.1,data/text_data/micusp_body/BIO.G3.02.1.txt,Linking scales to understand diversity,Biology,Third Year Graduate,BIO,G3,F,NS,,Proposal,"Definitions, Literature review section, Reference to sources"
BIO.G3.03.1,data/text_data/micusp_body/BIO.G3.03.1.txt,Intracellular Electric Field Sensing using Nano-sized Voltmeters,Biology,Third Year Graduate,BIO,G3,F,NS,,Essay,
CEE.G0.01.1,data/text_data/micusp_body/CEE.G0.01.1.txt,Mix Proportioning and Fresh Concrete Properties,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,M,NS,,Report,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G0.01.2,data/text_data/micusp_body/CEE.G0.01.2.txt,Self-Compacting Concrete and Fresh Concrete Properties,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,M,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G0.01.3,data/text_data/micusp_body/CEE.G0.01.3.txt,Gradation Analysis and Permeability Tests ,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,M,NS,,ResearchPaper,"Methodology section, Tables, graphs or figures, Discussion of results section"
CEE.G0.02.1,data/text_data/micusp_body/CEE.G0.02.1.txt,Assessment of Candidate Michigan Aggregate,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,M,NS,,Report,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G0.03.1,data/text_data/micusp_body/CEE.G0.03.1.txt,Glacier Way Dam Site Soils Evaluation,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,M,NS,,ResearchPaper,"Discussion of results section, Methodology section, Problem-solution pattern"
CEE.G0.04.1,data/text_data/micusp_body/CEE.G0.04.1.txt,Gradation Analyses and Permeability Tests for Glacier Way dam project,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,M,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G0.05.1,data/text_data/micusp_body/CEE.G0.05.1.txt,Relative density testing for foundation soil of punch presses,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,F,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G0.05.2,data/text_data/micusp_body/CEE.G0.05.2.txt,Design development for the Wight-Green Building,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,F,NS,,Report,
CEE.G0.05.3,data/text_data/micusp_body/CEE.G0.05.3.txt,Schematic design of the Wight-Green Building,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,F,NS,,Report,
CEE.G0.06.1,data/text_data/micusp_body/CEE.G0.06.1.txt,Characteristics of Concrete Aggregates,Civil and Environmental Engineering,Final Year Undergraduate,CEE,G0,F,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures"
CEE.G1.01.1,data/text_data/micusp_body/CEE.G1.01.1.txt,Oral Bioavailability Evaluation of Soil-Borne Chemicals Using In Vitro Bioavailability Tests,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Abstract, Tables, graphs or figures, Literature review section, Reference to sources"
CEE.G1.02.1,data/text_data/micusp_body/CEE.G1.02.1.txt,Necking and Localization in Plane Stress / Strain,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NNS,Spanish,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G1.02.2,data/text_data/micusp_body/CEE.G1.02.2.txt,Self-Centering Seismic Resistant Systems,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NNS,Spanish,Report,"Tables, graphs or figures, Reference to sources"
CEE.G1.02.3,data/text_data/micusp_body/CEE.G1.02.3.txt,Seismic Retrofit for Reinforced Concrete Structures: Analysis / Design Techniques,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NNS,Spanish,Report,"Abstract, Discussion of results section, Reference to sources"
CEE.G1.03.1,data/text_data/micusp_body/CEE.G1.03.1.txt,Dundee Wastewater Treatment Plant: a Brief Examination,Civil and Environmental Engineering,First Year Graduate,CEE,G1,F,NS,,Report,"Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G1.04.1,data/text_data/micusp_body/CEE.G1.04.1.txt,Use of Reinforced Concrete Shear Walls in Steel Framed Buildings,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Methodology section, Tables, graphs or figures, Reference to sources"
CEE.G1.05.1,data/text_data/micusp_body/CEE.G1.05.1.txt,Analysis and Design of Composite Steel-Concrete Columns,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Definitions, Abstract, Tables, graphs or figures, Reference to sources"
CEE.G1.06.1,data/text_data/micusp_body/CEE.G1.06.1.txt,Worker Ergonomic Analysis,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Tables, graphs or figures"
CEE.G1.07.1,data/text_data/micusp_body/CEE.G1.07.1.txt,Reinforced Concrete Design Term Project,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Abstract, Literature review section, Tables, graphs or figures, Problem-solution pattern, Reference to sources"
CEE.G1.07.2,data/text_data/micusp_body/CEE.G1.07.2.txt,The State of Finite Element Modeling of Fiber Reinforced Cement Composites,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Abstract, Reference to sources"
CEE.G1.08.1,data/text_data/micusp_body/CEE.G1.08.1.txt,Electrification of road transportation using ground level power supply,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NNS,Malayalam,Critique,"Abstract, Tables, graphs or figures, Problem-solution pattern, Methodology section, Definitions, Discussion of results section"
CEE.G1.09.1,data/text_data/micusp_body/CEE.G1.09.1.txt,Durability of Reinforced Concrete ,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,
CEE.G1.10.1,data/text_data/micusp_body/CEE.G1.10.1.txt,Seismic Design For Tunnels and Underground Infrastructure,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Abstract, Tables, graphs or figures, Reference to sources"
CEE.G1.10.2,data/text_data/micusp_body/CEE.G1.10.2.txt,Soil Improvement: Designing with Tensar Geogrids,Civil and Environmental Engineering,First Year Graduate,CEE,G1,M,NS,,Report,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
CEE.G2.01.1,data/text_data/micusp_body/CEE.G2.01.1.txt,Sustainability of the Internal Combustion Engine,Civil and Environmental Engineering,Second Year Graduate,CEE,G2,M,NS,,Report,"Abstract, Tables, graphs or figures, Reference to sources"
CEE.G3.01.1,data/text_data/micusp_body/CEE.G3.01.1.txt,A Study on an Interaction of Copper-Binding Compounds Between Methanotrophs,Civil and Environmental Engineering,Third Year Graduate,CEE,G3,M,NNS,Korean,ResearchPaper,"Methodology section, Discussion of results section, Reference to sources"
CEE.G3.02.1,data/text_data/micusp_body/CEE.G3.02.1.txt,Project: Computation of Deformation,Civil and Environmental Engineering,Third Year Graduate,CEE,G3,M,NNS,Mandarin,ResearchPaper,"Tables, graphs or figures"
CEE.G3.03.1,data/text_data/micusp_body/CEE.G3.03.1.txt,Contaminant Transport in Constructed Wetlands for Urban Stormwater Management,Civil and Environmental Engineering,Third Year Graduate,CEE,G3,F,NS,,ResearchPaper,"Definitions, Abstract, Tables, graphs or figures, Reference to sources"
CEE.G3.04.1,data/text_data/micusp_body/CEE.G3.04.1.txt,Managing CAFOs: Regulatory and Grassroots Control,Civil and Environmental Engineering,Third Year Graduate,CEE,G3,M,NS,,Report,Reference to sources
CEE.G3.04.2,data/text_data/micusp_body/CEE.G3.04.2.txt,International Law and Environmental Policy,Civil and Environmental Engineering,Third Year Graduate,CEE,G3,M,NS,,Report,"Definitions, Literature review section, Reference to sources"
CEE.G3.04.3,data/text_data/micusp_body/CEE.G3.04.3.txt,Dish-Washing as a Multi-Actor Prisoner's Dilemma,Civil and Environmental Engineering,Third Year Graduate,CEE,G3,M,NS,,Essay,"Tables, graphs or figures"
CLS.G0.01.1,data/text_data/micusp_body/CLS.G0.01.1.txt,Comparison of Persian and Assyrian Kings,Classical Studies,Final Year Undergraduate,CLS,G0,F,NS,,Report,Reference to sources
CLS.G0.02.1,data/text_data/micusp_body/CLS.G0.02.1.txt,Augustine Anatomized ,Classical Studies,Final Year Undergraduate,CLS,G0,F,NS,,Essay,Reference to sources
CLS.G0.03.1,data/text_data/micusp_body/CLS.G0.03.1.txt,Regarding the Public Image of the Emperor Augustus,Classical Studies,Final Year Undergraduate,CLS,G0,M,NS,,Report,
CLS.G0.04.1,data/text_data/micusp_body/CLS.G0.04.1.txt,Circe's portrayal as a witch in the Odyssey ,Classical Studies,Final Year Undergraduate,CLS,G0,F,NS,,ResponsePaper,
CLS.G0.04.2,data/text_data/micusp_body/CLS.G0.04.2.txt,Analysis of the Oresteia,Classical Studies,Final Year Undergraduate,CLS,G0,F,NS,,Essay,Reference to sources
CLS.G0.05.1,data/text_data/micusp_body/CLS.G0.05.1.txt,The Importance of Germanicus to the Roman Empire,Classical Studies,Final Year Undergraduate,CLS,G0,F,NS,,Report,
CLS.G0.06.1,data/text_data/micusp_body/CLS.G0.06.1.txt,Analysis of the Parthenon Frieze,Classical Studies,Final Year Undergraduate,CLS,G0,F,NS,,Essay,
CLS.G1.01.1,data/text_data/micusp_body/CLS.G1.01.1.txt,Plato and Hellenistic Poetics:  A Study of Narratological Framing,Classical Studies,First Year Graduate,CLS,G1,M,NS,,Essay,Reference to sources
CLS.G1.02.1,data/text_data/micusp_body/CLS.G1.02.1.txt,"Academic Ambitions: Cicero, the Persona of the Philosopher, and Roman Elite Status",Classical Studies,First Year Graduate,CLS,G1,M,NS,,Report,Reference to sources
CLS.G1.03.1,data/text_data/micusp_body/CLS.G1.03.1.txt,The Role of Roman manus Marriage in the Institution of Classical Free Marriage,Classical Studies,First Year Graduate,CLS,G1,F,NS,,Report,Reference to sources
CLS.G1.04.1,data/text_data/micusp_body/CLS.G1.04.1.txt,The Bellum Hispaniense as a Face of Battle Narrative,Classical Studies,First Year Graduate,CLS,G1,M,NS,,Essay,Reference to sources
CLS.G2.01.1,data/text_data/micusp_body/CLS.G2.01.1.txt,The Nightmare of Arcady,Classical Studies,Second Year Graduate,CLS,G2,M,NS,,Essay,Reference to sources
CLS.G2.02.1,data/text_data/micusp_body/CLS.G2.02.1.txt,Platonic Thought in Book I of Livy's Ab Urbe Condita,Classical Studies,Second Year Graduate,CLS,G2,M,NS,,Essay,Reference to sources
CLS.G3.01.1,data/text_data/micusp_body/CLS.G3.01.1.txt,Corpse Demons in Ancient Greek Magic,Classical Studies,Third Year Graduate,CLS,G3,F,NS,,Essay,"Tables, graphs or figures, Reference to sources"
ECO.G0.01.1,data/text_data/micusp_body/ECO.G0.01.1.txt,Article Review: My Anti-Stump Speech,Economics,Final Year Undergraduate,ECO,G0,M,NNS,Mandarin,Report,"Tables, graphs or figures"
ECO.G0.02.1,data/text_data/micusp_body/ECO.G0.02.1.txt,Analysis of the Microsoft Case,Economics,Final Year Undergraduate,ECO,G0,F,NS,,Report,
ECO.G0.02.2,data/text_data/micusp_body/ECO.G0.02.2.txt,The Lysine Cartel and Collusion Theory,Economics,Final Year Undergraduate,ECO,G0,F,NS,,Report,"Abstract, Reference to sources"
ECO.G0.03.1,data/text_data/micusp_body/ECO.G0.03.1.txt,Economics of the Illicit-Drug Market,Economics,Final Year Undergraduate,ECO,G0,M,NS,,Essay,Reference to sources
ECO.G0.04.1,data/text_data/micusp_body/ECO.G0.04.1.txt,FTC Approves Rocket Joint Venture,Economics,Final Year Undergraduate,ECO,G0,M,NNS,Russian,Report,Reference to sources
ECO.G0.04.2,data/text_data/micusp_body/ECO.G0.04.2.txt,Killing Labor with Kindness: The Road to Hell is Paved with Good Intentions,Economics,Final Year Undergraduate,ECO,G0,M,NNS,Russian,Critique,Reference to sources
