text_id,file_path,student_gender,year_of_birth,first_language,education,paper_discipline,student_id,student_level,date,module_title,module_code,paper_type,discipline,disciplinary_group,grade,number_of_authors,number_of_words,number_of_s_units,number_of_p,number_of_tables,number_of_figures,number_of_block_quotes,number_of_formulae,number_of_lists,number_of_paragraphs_formatted_like_lists,abstract_present,average_words_per_s_unit,average_s_units_per_p,macrotype_of_assignment
0023c,data/text_data/bawe_body/0023c.txt,M,1984,English,UKA,Engineering Design and Appropiate Technology,0023,2,2004-06,Intermediate Technology and Field Course,ES21V,Case study,Engineering,PS,D,1,1952,82,38,1,1,0,1,0,17,no abstract,23.8,2.2,simple assignment
0024e,data/text_data/bawe_body/0024e.txt,F,1983,English,UKA,Theatre and Performance Studies,0024,2,2003-12,Approaches to Modernism II,TH202,Essay,other,AH,D,1,3543,147,47,0,0,11,0,0,0,no abstract,24.1,3.1,simple assignment
0025a,data/text_data/bawe_body/0025a.txt,F,1984,Chinese Mandarin,UK4,Electronic and Communication Engineering,0025,2,2005-01,Design of Measurement Systems,ES21Q,Methodology recount,Engineering,PS,D,1,2592,141,85,1,5,0,49,1,24,no abstract,18.4,1.7,simple assignment
0026b,data/text_data/bawe_body/0026b.txt,M,1984,English,UKA,Philosophy,0026,1,2005-01,Doing Philosophy,PH122,Essay,Philosophy,AH,M,1,1471,57,12,0,0,0,0,0,0,no abstract,25.8,4.8,simple assignment
0027a,data/text_data/bawe_body/0027a.txt,M,1984,English,UKA,Engineering Design and Appropiate Technology,0027,3,2004-12,Finance and Accounting,ES379,Case study,Engineering,PS,D,1,4732,229,88,6,11,0,11,1,26,abstract present,20.7,2.6,simple assignment
0028c,data/text_data/bawe_body/0028c.txt,F,1986,English,OSA,Manufacturing Engineering and Management,0028,2,2005-03,CAD/CAM,ES21M,Design specification,Engineering,PS,D,1,1205,59,12,0,3,0,1,0,0,no abstract,20.4,4.9,simple assignment
0029j,data/text_data/bawe_body/0029j.txt,M,1984,English,UKA,History,0029,2,2006-03,The European World 1500-1720,HI203,Essay,History,AH,M,1,2199,70,19,0,0,1,0,0,0,no abstract,31.4,3.7,simple assignment
0030b,data/text_data/bawe_body/0030b.txt,M,1983,English,UKA,History,0030,1,2004-12,Galleons and Caravans,HI163,Essay,History,AH,M,1,2151,89,17,0,0,0,0,0,0,no abstract,24.2,5.2,simple assignment
0031c,data/text_data/bawe_body/0031c.txt,F,1986,English,UKA,Psychology,0031,1,2005-06,Further Psychology,PS112,Essay,Psychology,LS,D,1,1624,88,11,0,1,0,0,0,0,no abstract,18.5,8,simple assignment
0032c,data/text_data/bawe_body/0032c.txt,M,1985,English,UKA,Biochemistry,0032,1,2004-11,Biochemistry Laboratories and Assessed Work,BS120,Methodology recount,Biological Sciences,LS,D,1,1190,61,20,0,3,0,0,0,0,abstract present,19.5,3,simple assignment
0033a,data/text_data/bawe_body/0033a.txt,F,1984,English,OSA,Psychology,0033,1,2004-05,Methods in Psychology I,PS109,Research report,Psychology,LS,D,1,2444,126,36,3,0,0,0,0,0,abstract present,19.4,3.5,simple assignment
0034b,data/text_data/bawe_body/0034b.txt,M,1986,English,UKA,Politics,0034,1,2005-01,Introduction to Politics,PO107,Essay,Politics,SS,M,1,1681,75,6,0,0,0,0,0,0,no abstract,22.4,12.5,simple assignment
0035c,data/text_data/bawe_body/0035c.txt,F,1984,English,UKA,Biological Sciences,0035,2,2004-10,BS/MB/VIR/CB assessments,BS241,Explanation,Biological Sciences,LS,M,1,3133,141,43,1,2,0,0,0,5,abstract present,22.2,3.3,simple assignment
0036c,data/text_data/bawe_body/0036c.txt,F,1983,Chinese Mandarin,OSA,Computational Biology,0036,2,2005-03,Bioinformatics,BS250,Methodology recount,Biological Sciences,LS,M,1,2444,113,18,0,5,0,0,0,0,abstract present,21.6,6.3,simple assignment
0037a,data/text_data/bawe_body/0037a.txt,M,1986,English,UKA,Psychology,0037,1,2004-10,Methods in Psychology I,PS109,Methodology recount,Psychology,LS,D,1,1353,46,15,1,0,0,0,0,0,abstract present,29.4,3.1,simple assignment
0038b,data/text_data/bawe_body/0038b.txt,F,1985,English,UKA,Philosophy & Literature,0038,1,2004-11,Introduction to Philosophy,PH121,Critique,Philosophy,AH,M,1,2212,94,18,0,0,0,0,0,0,no abstract,23.5,5.2,simple assignment
0039d,data/text_data/bawe_body/0039d.txt,M,1985,English,UKA,History & Politics,0039,1,2004-05,Making of the Modern World,HI153,Essay,History,AH,M,1,1776,60,8,0,0,0,0,0,0,no abstract,29.6,7.5,simple assignment
0040a,data/text_data/bawe_body/0040a.txt,M,1982,English,UKA,History,0040,1,2003-03,The Medieval World,HI127,Essay,History,AH,D,1,2679,99,10,0,0,0,0,0,0,no abstract,27.1,9.9,simple assignment
0041a,data/text_data/bawe_body/0041a.txt,F,1985,Chinese Mandarin,OSA,Biochemistry,0041,1,2005-02,Biochemistry Laboratories and Assessed Work,BS120,Methodology recount,Biological Sciences,LS,D,1,1165,52,26,0,0,0,2,0,2,abstract present,22.4,2,simple assignment
0042c,data/text_data/bawe_body/0042c.txt,M,1985,Hindi,UK2,History & Politics,0042,3,2005-11,Historiography,HI323,Essay,History,AH,M,1,2165,51,13,0,0,0,1,0,0,no abstract,42.5,3.9,simple assignment
0043d,data/text_data/bawe_body/0043d.txt,M,1978,English,UKA,Mathematical Biology and Biophysical Chemistry,0043,4,2005-02,Networks & Pathways in Cells,MOAC8,Proposal,Biological Sciences,LS,D,3,1583,66,25,0,4,0,0,1,0,abstract present,24,2.6,simple assignment
0044a,data/text_data/bawe_body/0044a.txt,F,1985,English,UKA,History,0044,1,2003-12,The Medieval World,HI127,Essay,History,AH,D,1,2497,86,12,0,0,0,0,0,0,no abstract,29,7.2,simple assignment
0045b,data/text_data/bawe_body/0045b.txt,F,1984,English,UKA,Biological Sciences,0045,1,2005-01,Chemistry for Biological Sciences,BS122,Exercise,Biological Sciences,LS,D,1,1835,97,29,1,13,0,0,1,0,no abstract,18.9,3.3,simple assignment
0046a,data/text_data/bawe_body/0046a.txt,F,1980,English,UKA,Medicine,0046,4,2005-09,Obstetrics and Gynaecology,NA,Case study,Medicine,LS,D,1,2138,147,83,0,1,0,0,2,0,no abstract,14.5,1.8,simple assignment
0047c,data/text_data/bawe_body/0047c.txt,M,1981,English,UKA,Medicine,0047,4,2005-10,General Clinical Education,NA,Case study,Medicine,LS,D,1,2313,106,32,0,0,0,0,20,6,no abstract,21.8,3.3,simple assignment
0048a,data/text_data/bawe_body/0048a.txt,M,1982,English,OSA,Medicine,0048,4,2004-12,Health in the Community,MD100,Essay,Medicine,LS,D,1,1806,74,16,0,0,0,0,0,0,no abstract,24.4,4.6,complex but non-compound assignment (see notesStmt for details)
0049b,data/text_data/bawe_body/0049b.txt,M,1984,Welsh,UKA,Mathematics,0049,3,2004-04,Third Year Essay,MA395,Essay,Mathematics,PS,D,1,9985,769,326,0,0,0,993,4,78,abstract present,13,2.4,simple assignment
0050b,data/text_data/bawe_body/0050b.txt,F,1986,Korean,UKA,"Economics, Politics and International Studies",0050,1,2004-11,Economics 1,EC107,Essay,Economics,SS,M,1,1919,100,21,0,0,0,0,0,0,no abstract,19.2,4.8,simple assignment
0051c,data/text_data/bawe_body/0051c.txt,M,1984,English,UKA,Physics,0051,2,2005-03,Experimetal Techniques A,PX251,Methodology recount,Physics,PS,D,1,4654,281,185,4,13,0,182,2,24,no abstract,16.6,1.5,simple assignment
0052a,data/text_data/bawe_body/0052a.txt,M,1984,English,UKA,Mathematics (Mmath),0052,2,2004-06,Second Year Essay,MA213,Explanation,Mathematics,PS,D,1,2978,217,151,0,2,0,110,0,19,no abstract,13.7,1.4,simple assignment
0053a,data/text_data/bawe_body/0053a.txt,F,1985,English,OSA,"Economics, Politics and International Studies",0053,1,2005-03,Economics 1,EC107,Essay,Economics,SS,D,1,1754,63,19,7,2,0,0,1,0,no abstract,27.8,3.3,simple assignment
0055f,data/text_data/bawe_body/0055f.txt,F,1986,Turkish,OSA,"Philosophy, Politics and Economics",0055,1,2005-04,Computing & Data Analysis,EC125,Methodology recount,Economics,SS,M,4,2153,87,24,0,11,0,0,0,0,no abstract,24.7,3.6,simple assignment
0056a,data/text_data/bawe_body/0056a.txt,M,1984,English,UKA,Mathematics,0056,2,2005-03,Introduction to Secondary School Teaching,IE2A6,Narrative recount,other,PS,M,1,2255,87,6,0,0,0,0,0,0,no abstract,25.9,14.5,simple assignment
0057a,data/text_data/bawe_body/0057a.txt,M,1983,Swedish,OSA,Philosophy and Psychology,0057,1,2004-03,Introduction to Logic,PH117,Essay,Philosophy,AH,D,1,1283,46,7,0,0,0,0,0,0,no abstract,27.9,6.6,simple assignment
0058g,data/text_data/bawe_body/0058g.txt,F,1984,English,UKA,"Mathematics, Operational Research, Statistics and Economics",0058,2,2005-03,Economics 2,EC204,Essay,Economics,SS,D,1,2290,125,34,0,6,0,39,1,0,no abstract,18.3,3.7,simple assignment
0059a,data/text_data/bawe_body/0059a.txt,F,1986,English,UKA,Biological Sciences,0059,1,2005-03,BS/MB/VIR/CB laboratories & assessed work,BS121,Explanation,Biological Sciences,LS,M,1,1555,79,11,1,3,0,0,0,0,no abstract,19.7,7.2,simple assignment
0061d,data/text_data/bawe_body/0061d.txt,M,1983,English,UKA,French and German,0061,1,2002-12,The French Imagination,FR116,Essay,other,AH,M,1,1200,45,8,0,0,0,0,0,0,no abstract,26.7,5.6,simple assignment
0062c,data/text_data/bawe_body/0062c.txt,F,1983,German,OSA,Biochemistry,0062,3,2005-10,Development,BS301,Explanation,Biological Sciences,LS,D,1,3161,122,29,0,2,0,1,0,0,abstract present,25.9,4.2,simple assignment
0063d,data/text_data/bawe_body/0063d.txt,F,1986,English,UKA,History & French,0063,2,2006-02,French Women Writers Since 1968,FR230,Essay,other,AH,M,1,1856,85,7,0,0,0,0,0,0,no abstract,21.8,12.1,simple assignment
0064c,data/text_data/bawe_body/0064c.txt,F,1984,English,UKA,Law,0064,1,2003-12,The Modern English Legal System,LA115,Critique,Law,SS,M,1,1401,56,17,0,0,1,0,0,0,no abstract,25,3.3,simple assignment
0065c,data/text_data/bawe_body/0065c.txt,M,1976,English,UKA,Medicine,0065,4,2004-09,General Clinical Education,NA,Case study,Medicine,LS,D,1,4243,223,89,0,0,0,0,18,29,no abstract,19,2.5,simple assignment
0066c,data/text_data/bawe_body/0066c.txt,M,1984,Hindi,OSA,Law,0066,1,2005-03,Criminal Law,LA104,Problem question,Law,SS,D,1,2717,78,15,0,0,0,0,0,0,no abstract,34.8,5.2,simple assignment
0067a,data/text_data/bawe_body/0067a.txt,M,1984,English,UKA,Biochemistry,0067,2,2004-04,Bioinformatics,BS250,Methodology recount,Biological Sciences,LS,D,1,1593,76,44,1,2,0,0,3,20,abstract present,21,1.7,simple assignment
0068a,data/text_data/bawe_body/0068a.txt,M,1981,Panjabi,UKA,Medicine,0068,4,2004-02,Ethics,NA,Essay,Medicine,LS,D,1,1553,81,9,0,0,0,0,0,0,no abstract,19.2,9,simple assignment
0069e,data/text_data/bawe_body/0069e.txt,M,1984,English,UKA,Law,0069,2,2005-03,Advanced Themes in Competition Law & Policy,LA238,Essay,Law,SS,D,1,3066,89,24,0,0,0,0,0,0,no abstract,34.4,3.7,simple assignment
0070b,data/text_data/bawe_body/0070b.txt,F,1985,Swedish,OSA,PPE,0070,1,2005-06,Computing & Data Analysis,EC125,Essay + Critique,Economics,SS,D,1,2164,71,23,3,3,0,0,0,0,no abstract,30.5,3.1,simple assignment
0071a,data/text_data/bawe_body/0071a.txt,F,1987,Chinese Cantonese,OSA,Economics,0071,1,2005-12,World Economy: History & Theory,EC104,Essay,Economics,SS,D,1,1783,75,26,0,0,0,1,0,0,no abstract,23.8,2.9,simple assignment
0072a,data/text_data/bawe_body/0072a.txt,M,1982,German,OSA,Finance of Economics,0072,3,2005-12,Investment Management,IB3570,Essay,Business,SS,D,1,2357,77,32,0,0,1,17,0,0,no abstract,30.6,2.4,simple assignment
0073c,data/text_data/bawe_body/0073c.txt,F,1978,English,UKA,European Industrial Relations,0073,4,2000-10,Comparative European Industrial Relations,WB9703,Essay,Business,SS,D,1,2459,72,10,0,0,0,0,0,0,no abstract,34.2,7.2,simple assignment
0074a,data/text_data/bawe_body/0074a.txt,M,1987,English,UKA,Mphysics,0074,1,2005-12,First Year Laboratory,PX110,Methodology recount,Physics,PS,D,1,1683,86,45,1,1,0,10,0,6,no abstract,19.6,1.9,simple assignment
0075e,data/text_data/bawe_body/0075e.txt,M,1986,English,UKA,PAIS,0075,2,2004-11,States and Markets,PO230,Essay,Politics,SS,D,1,1757,49,10,0,0,0,0,1,0,no abstract,35.9,4.9,simple assignment
0076b,data/text_data/bawe_body/0076b.txt,F,1984,Chinese Mandarin,OSA,Economics,0076,3,2005-11,Topics in Financial Economics,EC332,Critique,Economics,SS,D,1,2509,134,60,0,3,0,29,2,13,no abstract,18.7,2.2,simple assignment
0077c,data/text_data/bawe_body/0077c.txt,M,1981,Norwegian,OSA,Economics,0077,1,2003-12,World Economy: History & Theory,EC104,Essay,Economics,SS,D,1,1427,69,8,0,0,0,0,0,0,no abstract,20.7,8.6,simple assignment
0079d,data/text_data/bawe_body/0079d.txt,M,1976,Spanish,OSA,Economic Analysis and Policy,0079,4,2004-03,Quantitive Methods I: Econometrics B,EC910,Research report,Economics,SS,D,1,4345,201,98,10,6,0,19,0,7,no abstract,21.6,2.1,simple assignment
0080a,data/text_data/bawe_body/0080a.txt,F,1984,Chinese unspecified,OSA,Economic Analysis and Policy,0080,1,2004-11,Macroeconomics,EC108,Essay,Economics,SS,D,1,1011,54,8,0,2,0,0,0,0,no abstract,18.7,6.8,simple assignment
0081b,data/text_data/bawe_body/0081b.txt,F,1983,Chinese unspecified,OSA,Industrial Relations and Personnel Management,0081,4,2006-03,International Political Economy of International Relations,WB9704,Essay,Business,SS,M,1,2708,115,33,0,0,0,0,0,0,no abstract,23.5,3.5,simple assignment
0082c,data/text_data/bawe_body/0082c.txt,F,1984,English,UKA,Psychology,0082,1,2003-10,Further Psychology,PS112,Essay,Psychology,LS,M,1,1536,63,13,0,0,0,0,0,0,no abstract,24.4,4.8,simple assignment
0083a,data/text_data/bawe_body/0083a.txt,M,1987,English,UKA,Mphysics,0083,1,2005-12,Physics Laboratory,PX110,Methodology recount,Physics,PS,D,1,6617,268,107,0,7,0,66,1,17,abstract present,24.7,2.5,simple assignment
0084a,data/text_data/bawe_body/0084a.txt,F,1985,English,UKA,Psychology,0084,2,2005-11,Social Psychology,PS220,Essay,Psychology,LS,D,1,2149,74,12,0,0,1,0,0,0,no abstract,29,6.2,simple assignment
0086d,data/text_data/bawe_body/0086d.txt,F,1984,English,OSA,Law,0086,1,2005-12,Basic Techniques of Common Law in Contract and Tort,LA102,Essay,Law,SS,D,1,2480,120,24,0,0,1,0,1,0,no abstract,20.7,5,simple assignment
0088a,data/text_data/bawe_body/0088a.txt,M,1976,Portuguese,OSA,Psychology Msc: Research Methods,0088,4,2005-01,Experimental Design and Data Collection,PS906,Research report,Psychology,LS,D,1,1619,77,19,2,0,0,0,0,0,abstract present,21,4.1,simple assignment
0090b,data/text_data/bawe_body/0090b.txt,M,1982,English,OSA,Engineering Business Management,0090,4,2004-10,Strategic Marketing,ES987,Case study + Narrative recount,Engineering,PS,D,1,5376,233,91,1,3,1,0,0,30,no abstract,23.1,2.6,compound assignment consisting of 2 parts (see notesStmt for details)
0092a,data/text_data/bawe_body/0092a.txt,M,NA,German,OSA,Economics,0092,2,2004-04,Macroeconomics 2,EC201,Essay,Economics,SS,D,2,2663,128,66,2,10,0,18,0,13,no abstract,20.8,1.9,simple assignment
0094f,data/text_data/bawe_body/0094f.txt,M,1984,Finnish,OSA,Economics,0094,2,2005-11,Law and International Business Environment,LA230,Case study,Law,SS,M,1,2439,91,17,0,0,0,0,0,0,no abstract,26.8,5.4,simple assignment
0097b,data/text_data/bawe_body/0097b.txt,F,1985,English,UKA,Biochemistry,0097,3,2005-11,Development,BS301,Explanation,Biological Sciences,LS,D,1,4962,79,30,0,3,0,0,0,0,abstract present,62.8,2.6,simple assignment
0098a,data/text_data/bawe_body/0098a.txt,M,1987,English,UKA,History & Culture,0098,1,2005-11,The Making of the Modern World,HI153,Essay,History,AH,M,1,1792,72,31,0,0,0,0,0,0,no abstract,24.9,2.3,simple assignment
0099b,data/text_data/bawe_body/0099b.txt,M,1984,Finnish,UK2,Economics L100,0099,1,2006-01,Computing & Data Analysis,EC125,Methodology recount,Economics,SS,D,2,2438,140,61,5,15,0,28,1,5,no abstract,17.4,2.3,simple assignment
0100a,data/text_data/bawe_body/0100a.txt,F,1986,Chinese unspecified,UK2,Biochemistry,0100,1,2006-01,Biochemistry Laboratories and Assessed Work,BS120,Methodology recount,Biological Sciences,LS,D,1,1062,59,18,2,5,0,1,0,0,abstract present,18,3.3,simple assignment
0103c,data/text_data/bawe_body/0103c.txt,F,1985,French,OSA,Biological Sciences with Cell Biology,0103,2,2005-03,Development,BS204,Explanation,Biological Sciences,LS,M,1,3478,151,49,1,4,0,0,0,0,abstract present,23,3.1,simple assignment
0104a,data/text_data/bawe_body/0104a.txt,F,NA,Chinese unspecified,OSA,Research Methods in Psychology,0104,4,2006-02,Experimental Design and Data Collection,PS906,Research report,Psychology,LS,M,1,1873,101,22,0,0,0,0,0,0,no abstract,18.5,4.6,simple assignment
0109a,data/text_data/bawe_body/0109a.txt,M,1985,English,UKA,Mphysics,0109,1,NA,Physics Laboratory,PX110,Methodology recount,Physics,PS,M,NA,3179,123,54,1,2,0,13,0,4,abstract present,25.8,2.3,simple assignment
0111a,data/text_data/bawe_body/0111a.txt,M,1984,English,UKA,Economics,0111,3,NA,International Economics,EC312,Critique,Economics,SS,M,NA,1921,87,32,0,2,1,4,0,4,no abstract,22.1,2.7,simple assignment
0112d,data/text_data/bawe_body/0112d.txt,F,1984,English,UKA,Biological Sciences with Molecular Genetics,0112,2,2004-11,BS/MB/VIR/CB assessments,BS241,Explanation,Biological Sciences,LS,D,1,3124,115,28,0,1,0,0,0,0,abstract present,27.2,4.1,simple assignment
0113b,data/text_data/bawe_body/0113b.txt,M,NA,English,NA,philosophy,0113,1,NA,Introduction to Philosophy,PH121,Essay,Philosophy,AH,NA,NA,1404,66,7,0,0,0,0,0,0,no abstract,21.3,9.4,simple assignment
0114c,data/text_data/bawe_body/0114c.txt,M,1979,English,UKA,Medicine Phase II,0114,4,2004-09,Child Health Rotation,NA,Case study,Medicine,LS,D,1,1341,57,25,0,0,1,0,1,0,no abstract,23.5,2.3,simple assignment
0116c,data/text_data/bawe_body/0116c.txt,F,1971,Chinese unspecified,OSA,Drama and Theatre Education,0116,4,2005-01,The Role of Story in Drama and Theatre Education,IE544,Narrative recount,other,SS,D,1,2044,100,19,1,3,0,0,0,5,no abstract,20.4,5.3,simple assignment
0117a,data/text_data/bawe_body/0117a.txt,M,1987,English,UKA,Economics,0117,1,2005-12,The Industrial Economy,EC112,Essay,Economics,SS,D,1,1550,49,7,0,0,0,0,0,0,no abstract,31.6,7,simple assignment
0118a,data/text_data/bawe_body/0118a.txt,F,1986,English,UKA,Mathematics and Economics,0118,2,2006-01,Economics 2,EC204,Essay,Economics,SS,M,1,2194,131,45,0,0,0,20,0,0,no abstract,16.7,2.9,simple assignment
0119a,data/text_data/bawe_body/0119a.txt,F,1985,English,UKA,LLB,0119,1,2003-12,Criminal Law,LA104,Problem question,Law,SS,D,1,2508,109,21,0,0,0,0,0,0,no abstract,23,5.2,simple assignment
0120d,data/text_data/bawe_body/0120d.txt,F,1985,French,OSA,LLB,0120,1,2005-03,Introduction to the Law of Property Relations,LA103,Critique,Law,SS,D,1,1982,61,16,0,0,0,0,0,2,no abstract,32.5,3.8,simple assignment
0122c,data/text_data/bawe_body/0122c.txt,F,1986,English,UKA,LLB,0122,1,2005-04,Basic Techniques of Common Law in Contract & Tort,LA102,Critique,Law,SS,M,1,1449,33,10,0,0,1,0,0,0,no abstract,43.9,3.3,simple assignment
0123a,data/text_data/bawe_body/0123a.txt,M,1985,Chinese Cantonese,OSA,Law and Business,0123,1,2005-12,Business Studies II: Management of Change,IB3140,Essay,Business,SS,M,1,1448,66,14,0,1,0,0,0,0,no abstract,21.9,4.7,simple assignment
0124b,data/text_data/bawe_body/0124b.txt,F,1983,Chinese Mandarin,OSA,MA Organisational Studies,0124,4,2006-01,International Political Economy,WB9704,Essay,Business,SS,D,1,3121,139,25,0,2,0,0,0,0,no abstract,22.5,5.6,simple assignment
0125b,data/text_data/bawe_body/0125b.txt,M,1986,Chinese Mandarin,UK0.5,Accounting and Finance,0125,1,2005-12,Introduction to Business Law,IB1100,Critique,Business,SS,M,1,1301,55,6,0,0,0,0,0,0,no abstract,23.7,9.2,simple assignment
0126b,data/text_data/bawe_body/0126b.txt,M,1986,English,UKA,eng and Theatre,0126,1,2005-01,British Theatre Since 1939,EN107,Essay,other,AH,M,1,2460,71,13,0,0,0,0,0,0,no abstract,34.6,5.5,simple assignment
0127i,data/text_data/bawe_body/0127i.txt,F,1983,English,UKA,Microbiology and Virology,0127,3,2006-01,Assessments for Biological Sciences,BS345,Explanation,Biological Sciences,LS,D,2,4320,157,52,7,1,0,0,2,0,no abstract,27.5,3,simple assignment
0129d,data/text_data/bawe_body/0129d.txt,F,1986,English,UKA,Comparative American Studies,0129,1,2005-01,North America: Themes and Problems,AM102,Essay,Comparative American Studies,AH,D,1,2063,71,18,0,0,1,0,0,0,no abstract,29.1,3.9,simple assignment
0130h,data/text_data/bawe_body/0130h.txt,M,1984,English,UKA,Comparative American Studies,0130,2,2004-02,Nineteenth Century US Writing and Culture,EN213,Essay,other,AH,M,1,3289,95,9,0,0,0,0,0,0,no abstract,34.6,10.6,simple assignment
0131b,data/text_data/bawe_body/0131b.txt,M,NA,English,UKA,Psychology,0131,2,2005-11,Methods in Psychology II,PS215,Methodology recount,Psychology,LS,M,1,2123,86,18,3,0,0,0,0,0,no abstract,24.7,4.8,simple assignment
